Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Salpicão,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,412,1710,36.7,12.6,14.5,4.2,3.6,0.1,0.0,0.0,0.0,0.0,0.0,20.5,11.0,0.0,32.6,0.0,84.0,0.0,0.0,0.7,0.3,0.35,0.18,5.0,9.4,4.4,0.41,1.0,0.0,3.0,9.5,4340.0,580.0,27.0,240.0,36.0,1.7,3.0,,
Salsicha tipo Frankfurt grelhada sem adição de sal,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",211,877,16.7,5.4,6.5,1.8,1.6,0.0,3.2,1.6,0.0,1.6,0.1,12.0,3.0,0.0,65.0,0.0,57.0,0.0,0.0,0.0,0.4,0.15,0.1,1.3,3.2,1.9,0.1,1.0,0.0,1.0,3.1,1210.0,69.0,19.0,130.0,5.0,1.3,0.7,,13.0
Sonhos,Cereais e produtos à base de cereais,Produtos de pastelaria fina,Pastelaria de massa levedada,389,1620,26.2,3.7,6.2,14.3,14.1,0.1,29.2,10.6,0.0,18.6,0.7,8.7,0.2,0.0,34.6,0.0,209.0,135.0,0.0,0.9,1.1,0.05,0.23,0.3,2.7,2.4,0.1,1.0,0.0,16.0,0.6,72.0,61.0,29.0,130.0,15.0,1.4,0.9,,
"Toucinho de porco entremeado fresco, cru",Carne e produtos cárneos,Tecidos adiposos frescos de animais,Tecido adiposo de mamíferos,682,2810,72.0,24.1,27.9,11.0,9.4,0.4,0.0,0.0,0.0,0.0,0.0,8.4,0.2,0.0,19.2,0.0,68.0,0.0,0.0,0.0,0.03,0.17,0.13,0.2,1.4,1.2,0.09,1.0,0.0,2.0,1.1,68.0,40.0,16.0,70.0,55.0,0.4,0.6,,
"Toucinho de porco entremeado ligeiramente salgado, cru",Carne e produtos cárneos,Tecidos adiposos frescos de animais,Tecido adiposo de mamíferos,506,2090,50.1,16.8,19.4,7.6,6.6,0.3,0.0,0.0,0.0,0.0,0.0,13.7,3.6,0.0,32.0,0.0,55.0,0.0,0.0,0.0,0.03,0.27,0.18,2.8,5.4,2.6,0.15,1.0,0.0,3.0,4.0,1420.0,260.0,14.0,96.0,17.0,0.3,1.8,,
Veado cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,112,474,3.3,1.5,1.4,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0,20.6,0.2,0.0,74.9,0.0,50.0,0.0,0.0,0.5,0.13,0.25,0.25,3.4,7.9,4.5,0.3,1.0,0.0,5.0,1.1,62.0,310.0,10.0,200.0,21.0,2.3,3.2,,0.6
Almôndegas de vaca e porco,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",243,1010,16.7,6.9,5.5,2.7,2.42,0.3,3.8,1.2,0.0,2.6,0.2,19.2,1.9,0.0,57.0,0.0,100.0,70.0,32.0,0.6,0.34,0.13,0.2,3.0,8.21,4.16,0.23,1.1,0.2,8.7,2.85,770.0,240.0,39.0,200.0,22.0,1.4,3.7,,
Bife de vitela frito,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,229,952,16.4,4.3,10.4,1.0,0.778,0.3,0.4,0.3,0.0,0.1,0.7,19.0,1.1,0.3,60.2,0.1,79.0,109.0,656.0,0.1,1.78,0.39,0.23,5.9,10.1,4.02,0.35,1.1,43.3,38.0,2.83,430.0,550.0,53.0,220.0,30.0,1.9,3.2,,
Costeleta de porco meio gorda estufada,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",277,1150,20.5,3.9,3.9,3.9,3.42,3.9,0.7,0.5,0.1,0.1,0.2,21.1,1.3,0.8,53.7,0.0,70.0,5.0,3.0,0.7,1.07,0.81,0.21,7.0,11.7,4.46,0.46,1.1,1.4,9.1,2.22,500.0,450.0,21.0,210.0,25.0,1.6,2.3,,
Fiambre de aves,Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),83,351,1.6,0.5,0.7,0.5,0.35,0.0,2.7,0.1,0.0,0.0,1.6,13.8,2.3,0.0,76.9,0.0,64.0,0.0,0.0,0.0,0.16,0.1,0.08,3.5,6.4,2.9,0.24,1.1,0.0,2.0,3.38,910.0,310.0,11.0,270.0,17.0,0.4,0.6,,3.0
Fiambre de porco,Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),111,466,4.6,1.5,2.0,0.7,0.55,0.0,1.3,1.3,0.0,0.0,1.9,15.3,2.3,0.0,74.5,0.0,64.0,0.0,0.0,0.0,0.16,0.32,0.13,3.5,6.4,2.9,0.24,1.1,0.0,2.0,3.4,940.0,330.0,11.0,270.0,16.0,0.7,1.4,,3.0
"Fiambre, pá",Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),112,467,5.1,1.7,2.2,0.7,0.6,0.0,1.3,1.3,0.0,0.0,2.3,14.0,2.4,0.0,74.5,0.0,64.0,0.0,0.0,0.0,0.16,0.28,0.13,3.5,6.4,2.9,0.2,1.1,0.0,2.0,3.34,940.0,310.0,12.0,260.0,14.0,0.7,1.4,,3.0
"Fiambre, peito de frango",Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),82,344,1.3,0.4,0.6,0.3,0.2,0.0,2.8,0.1,0.0,0.0,1.9,13.7,2.4,0.0,76.6,0.0,64.0,0.0,0.0,0.0,0.16,0.09,0.06,3.5,6.4,2.9,0.23,1.1,0.0,2.0,3.58,950.0,320.0,10.0,270.0,17.0,0.4,0.4,,3.0
"Fiambre, peito de peru",Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),85,359,1.9,0.6,0.7,0.6,0.5,0.0,2.6,0.1,0.0,0.0,1.2,13.8,2.2,0.0,77.2,0.0,64.0,0.0,0.0,0.0,0.16,0.11,0.09,3.5,6.4,2.9,0.24,1.1,0.0,2.0,3.17,870.0,290.0,11.0,270.0,16.0,0.4,0.9,,3.0
"Fiambre, perna",Carne e produtos cárneos,Produtos processados à base de carne,Carne cozinhada curada (ou temperada),111,464,4.1,1.3,1.8,0.6,0.5,0.0,1.2,1.2,0.0,0.0,1.4,16.5,2.3,0.0,74.4,0.0,64.0,0.0,0.0,0.0,0.16,0.36,0.13,3.5,6.4,2.9,0.28,1.1,0.0,2.0,3.46,930.0,350.0,9.0,280.0,17.0,0.6,1.3,,3.0
Garoupa grelhada,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,121,511,1.9,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,1.2,0.0,69.9,0.0,47.0,63.0,0.0,8.4,3.5,0.03,0.06,1.4,6.5,5.1,0.32,1.1,0.0,6.4,2.3,470.0,340.0,24.0,200.0,35.0,0.7,0.7,,
Lombo de porco frito,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,182,763,7.4,2.6,2.8,1.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,28.8,0.4,0.0,62.2,0.0,84.0,35.0,0.0,0.7,0.68,0.48,0.19,5.4,12.0,6.1,0.36,1.1,0.0,5.9,1.6,160.0,380.0,9.0,260.0,29.0,0.8,2.2,,0.2
Lombo de porco frito com manteiga,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,180,756,7.2,2.6,2.6,1.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,28.8,0.4,0.0,62.4,0.0,85.0,40.0,0.0,0.7,0.59,0.48,0.19,5.4,12.0,6.1,0.36,1.1,0.0,5.9,1.6,160.0,380.0,9.0,260.0,29.0,0.8,2.2,,0.2
Lombo de porco frito com margarina,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,184,771,7.6,2.6,2.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0.4,0.0,62.0,0.0,82.0,30.0,0.0,0.7,0.76,0.48,0.19,5.4,12.0,6.1,0.36,1.1,0.0,5.9,1.6,170.0,380.0,9.0,260.0,29.0,0.8,2.2,,0.2
"Lombo de vaca magro no forno, com tomate, cebola, cenoura e alho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,128,534,6.8,1.5,4.6,0.5,0.432,0.1,2.5,2.2,0.2,0.1,1.1,11.9,0.9,1.0,74.8,0.0,33.0,168.0,1010.0,0.3,1.14,0.11,0.1,2.3,4.77,2.5,0.35,1.1,7.1,21.0,1.75,350.0,370.0,24.0,99.0,22.0,1.3,2.1,,
"Lombo de vitela assado, sem molho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,151,634,5.6,2.3,2.6,0.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,25.1,0.4,0.0,67.6,0.0,121.0,0.0,0.0,0.0,0.11,0.13,0.24,7.0,12.0,5.4,0.2,1.1,0.0,6.4,1.71,180.0,330.0,17.0,220.0,23.0,1.2,4.0,,2.0
"Lombo de vitela frito, sem molho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,195,816,10.6,4.7,4.6,0.9,0.6,0.4,0.0,0.0,0.0,0.0,0.0,24.9,0.5,0.0,62.7,0.0,102.0,11.0,6.0,0.1,0.11,0.13,0.24,7.0,12.0,5.5,0.38,1.1,0.0,6.4,1.8,200.0,320.0,17.0,220.0,22.0,1.1,4.0,,2.0
Lombo de vitela grelhado,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,150,632,5.6,2.3,2.6,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,25.0,0.6,0.0,67.8,0.0,125.0,0.0,0.0,0.0,0.12,0.13,0.24,7.0,12.0,5.3,0.2,1.1,0.0,6.4,1.6,240.0,330.0,17.0,220.0,22.0,1.2,4.0,,2.0
Lula crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Moluscos,"Lulas, chocos, polvos",71,302,0.9,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.5,0.0,81.4,0.0,140.0,10.0,0.0,3.5,1.2,0.07,0.02,1.0,4.4,3.4,0.05,1.1,0.0,7.1,1.3,200.0,230.0,18.0,260.0,49.0,0.3,1.0,,
Pargo mulato cozido,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,85,360,1.0,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.9,0.0,78.3,0.0,37.0,6.0,0.0,0.9,2.1,0.11,0.05,1.2,5.0,3.5,0.17,1.1,0.0,6.8,1.7,340.0,300.0,10.0,170.0,37.0,0.5,0.9,,110.0
Peito de cabrito cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,116,489,3.8,1.2,1.7,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,20.5,0.2,0.0,74.2,0.0,57.0,0.0,0.0,0.0,0.09,0.13,0.32,6.1,10.0,4.4,0.3,1.1,0.0,5.0,1.2,82.0,390.0,11.0,230.0,22.0,0.5,4.0,,
"Peito de cabrito estufado, sem molho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,153,646,4.4,1.4,2.0,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,28.4,0.5,0.0,64.9,0.0,83.0,0.0,0.0,0.0,0.08,0.11,0.38,6.2,12.0,5.3,0.26,1.1,0.0,5.8,2.34,200.0,450.0,14.0,280.0,30.0,0.7,5.8,,
Perna de cabrito crua,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,113,476,4.0,1.2,1.8,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,19.3,0.2,0.0,75.2,0.0,60.0,0.0,0.0,0.0,0.09,0.13,0.3,6.0,10.0,4.1,0.3,1.1,0.0,5.0,1.22,77.0,360.0,9.0,270.0,21.0,0.9,3.7,,
Queijo Amarelo da Beira Baixa,Leite e produtos lácteos,Queijo,Queijo curado,361,1500,30.0,21.1,7.3,1.1,0.9,1.3,1.5,1.5,0.0,0.0,0.0,20.5,1.5,0.0,43.0,1.0,88.0,195.0,6.0,0.2,0.43,0.05,0.7,0.8,4.7,3.9,0.09,1.1,0.0,37.0,5.2,600.0,85.0,710.0,600.0,56.0,1.3,3.0,,
Queijo de Castelo Branco,Leite e produtos lácteos,Queijo,Queijo curado,356,1470,29.2,19.4,7.1,1.1,0.85,1.3,1.8,1.8,0.0,0.0,0.0,20.8,1.6,0.0,43.0,1.0,88.0,195.0,6.0,0.2,0.43,0.05,0.7,0.8,4.7,3.9,0.09,1.1,0.0,37.0,5.2,660.0,85.0,710.0,600.0,56.0,1.3,3.0,,
Queijo de ovelha curado,Leite e produtos lácteos,Queijo,Queijo curado,401,1660,33.0,22.0,8.0,1.2,1.0,1.4,2.4,2.4,0.0,0.0,0.0,22.8,1.5,0.0,43.0,1.0,88.0,195.0,6.0,0.2,0.43,0.05,0.7,0.8,4.7,3.9,0.09,1.1,0.0,37.0,5.2,600.0,85.0,710.0,600.0,56.0,1.3,3.0,,
"Queijo de ovelha, amanteigado",Leite e produtos lácteos,Queijo,Queijo curado,361,1500,30.3,20.8,7.4,0.6,0.5,0.7,1.6,1.6,0.0,0.0,0.0,19.7,1.5,0.0,43.0,1.0,88.0,195.0,6.0,0.2,0.43,0.05,0.7,0.8,4.7,3.9,0.09,1.1,0.0,37.0,5.2,600.0,85.0,710.0,600.0,56.0,1.3,3.0,,
Queijo Serpa,Leite e produtos lácteos,Queijo,Queijo curado,375,1560,30.5,20.5,7.4,1.1,0.9,1.3,2.4,2.4,0.0,0.0,0.0,22.0,2.0,0.0,43.0,1.0,88.0,195.0,6.0,0.2,0.43,0.05,0.7,0.8,4.7,3.9,0.09,1.1,0.0,37.0,5.2,800.0,85.0,710.0,600.0,56.0,1.3,3.0,,
Robalo cozido,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,182,760,10.9,2.2,3.5,3.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.6,0.0,66.1,0.0,87.0,28.0,0.0,5.8,0.34,0.18,0.13,2.6,6.5,3.9,0.14,1.1,0.0,9.3,1.7,240.0,330.0,74.0,270.0,34.0,0.4,1.1,,
"Bife de espadarte, estufado com azeite e vinho","Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,152,636,8.1,1.4,5.3,0.8,0.335,0.0,0.4,0.2,0.0,0.2,0.0,17.1,0.9,1.1,70.4,0.5,43.0,0.0,0.0,1.1,0.83,0.1,0.04,3.5,7.08,3.16,0.41,1.2,0.2,11.0,2.01,350.0,340.0,7.8,230.0,30.0,0.6,0.9,,
Bife de vitela cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,149,623,7.6,3.2,3.6,0.3,0.1,0.4,0.2,0.0,0.0,0.0,0.0,19.9,0.1,0.0,71.2,0.0,91.0,0.0,0.0,0.0,0.17,0.22,0.21,3.6,7.8,4.2,0.34,1.2,0.0,5.7,1.1,25.0,370.0,14.0,200.0,19.0,0.9,3.0,,25.0
Chambão de vitela cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,195,814,12.6,3.2,6.0,0.3,0.1,0.4,0.2,0.0,0.0,0.0,0.0,20.3,0.1,0.0,65.8,0.0,77.0,0.0,0.0,0.0,0.17,0.2,0.21,3.6,7.8,4.2,0.34,1.2,0.0,5.7,1.12,25.0,370.0,10.0,150.0,19.0,0.7,3.0,,25.0
Choco cru,"Peixes, mariscos, anfíbios, répteis e invertebrados",Moluscos,"Lulas, chocos, polvos",79,336,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.5,0.0,78.6,0.0,76.0,9.0,0.0,0.0,0.94,0.04,0.03,1.1,5.1,4.0,0.06,1.2,0.0,8.8,1.4,200.0,320.0,8.0,270.0,49.0,0.1,1.7,,
"Coração de porco, estufado com banha e margarina",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",193,805,10.5,3.8,4.1,1.8,1.63,0.0,1.0,0.7,0.1,0.1,0.4,20.9,1.4,1.4,63.6,0.0,106.0,117.0,542.0,0.7,0.55,0.44,0.99,4.2,10.2,4.41,0.25,1.2,5.0,4.8,2.73,570.0,260.0,23.0,210.0,25.0,3.0,1.9,,
Costeleta de cabrito grelhada,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,151,636,3.0,0.9,1.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,30.9,0.5,0.0,63.8,0.0,78.0,0.0,0.0,0.0,0.98,0.11,0.35,6.3,12.0,5.8,0.26,1.2,0.0,5.4,1.8,200.0,480.0,17.0,160.0,32.0,1.4,6.3,,
"Hambúrguer de porco, frito, sem molho",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",264,1100,17.1,5.8,5.7,2.8,2.4,0.1,0.0,0.0,0.0,0.0,0.0,27.5,0.6,0.0,53.7,0.0,96.0,0.0,0.0,0.8,0.2,0.54,0.25,7.1,13.0,5.9,0.35,1.2,0.0,7.5,1.7,230.0,380.0,18.0,240.0,25.0,2.0,3.1,,3.0
"Hambúrguer de porco, grelhado",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",261,1090,16.6,5.7,5.6,2.8,2.3,0.1,0.0,0.0,0.0,0.0,0.0,27.8,0.6,0.0,53.9,0.0,83.0,0.0,0.0,0.8,0.2,0.6,0.3,7.2,13.0,5.9,0.36,1.2,0.0,7.6,1.7,230.0,390.0,19.0,240.0,26.0,2.1,3.1,,3.0
"Lombo de porco assado, sem molho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,210,882,8.8,3.0,3.0,1.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,32.7,0.5,0.0,56.5,0.0,86.0,31.0,0.0,0.7,0.07,0.55,0.21,6.2,13.0,6.9,0.41,1.2,0.0,6.6,2.0,190.0,430.0,10.0,290.0,33.0,0.9,2.5,,0.2
Lombo de vitela cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,148,620,7.6,3.2,3.6,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,19.9,0.1,0.0,71.2,0.0,91.0,0.0,0.0,0.0,0.17,0.22,0.21,6.6,11.0,4.2,0.34,1.2,0.0,5.7,1.3,24.0,350.0,14.0,200.0,18.0,0.9,3.0,,
Paio de lombo,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,288,1200,19.0,6.5,7.5,2.2,1.9,0.1,0.0,0.0,0.0,0.0,0.0,29.2,8.8,0.0,41.7,0.0,65.0,0.0,0.0,0.0,0.2,0.7,0.2,5.0,11.0,6.2,0.48,1.2,0.0,3.0,10.0,3510.0,320.0,25.0,260.0,25.0,1.0,3.8,,13.0
"Peito de peru sem pele, panado",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",226,946,9.9,1.5,2.4,5.0,5.0,0.0,8.4,0.3,0.0,8.1,0.4,25.5,0.6,0.0,53.9,0.0,107.0,30.0,0.0,0.4,0.16,0.05,0.18,6.7,12.0,5.1,0.39,1.2,0.0,8.1,1.92,250.0,350.0,20.0,220.0,34.0,1.2,0.9,,0.4
Peito de vitela magro cru,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,147,614,7.6,3.2,3.6,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,19.6,0.1,0.0,71.0,0.0,91.0,0.0,0.0,0.0,0.17,0.32,0.24,6.5,11.0,4.2,0.35,1.2,0.0,5.8,1.8,28.0,410.0,11.0,230.0,21.0,1.1,3.3,,
"Perna de porco magra assada, sem molho",Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,213,893,9.9,3.4,3.3,1.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.6,0.0,57.0,0.0,93.0,0.0,0.0,0.6,0.11,0.55,0.34,8.4,15.0,6.6,0.43,1.2,0.0,1.4,2.0,240.0,450.0,17.0,220.0,36.0,1.1,4.2,,0.2
Queijo fresco açucarado com sabor a fruta,Leite e produtos lácteos,Queijo,Queijo fresco (não curado),110,462,3.6,1.9,0.9,0.1,0.1,0.1,11.6,11.6,0.0,0.0,0.0,7.3,0.1,0.0,76.2,0.6,19.0,60.0,0.0,0.1,0.08,0.03,0.19,1.1,2.8,1.7,0.03,1.2,0.0,13.0,0.7,38.0,160.0,94.0,100.0,10.0,0.3,0.5,,
Salmão grelhado,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe diádromos,309,1280,23.7,4.5,8.7,7.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,23.8,2.0,0.0,49.4,0.0,52.0,70.0,0.0,9.2,4.3,0.19,0.12,4.4,8.8,4.4,0.21,1.2,0.0,10.0,2.9,780.0,410.0,68.0,320.0,40.0,0.4,0.9,,12.0
Vaca magra estufada,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",226,943,14.2,1.8,1.8,1.8,1.75,1.8,1.2,1.0,0.1,0.1,0.4,21.8,1.2,0.7,59.3,0.0,69.0,25.0,94.0,0.6,1.46,0.06,0.14,2.5,8.97,4.6,0.24,1.2,3.6,7.8,2.17,420.0,260.0,18.0,200.0,20.0,1.6,5.0,,
Vaca magra estufada com azeite e margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",226,940,14.2,4.9,7.0,1.0,0.894,0.4,1.2,1.0,0.1,0.1,0.4,21.8,1.1,0.7,59.3,0.0,69.0,25.0,94.0,0.6,0.76,0.06,0.14,2.5,8.97,4.6,0.24,1.2,3.6,7.8,2.17,420.0,260.0,18.0,200.0,20.0,1.6,5.0,,
Vaca magra estufada com margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",220,918,13.6,5.7,5.2,1.4,1.31,0.4,1.2,1.0,0.1,0.1,0.4,21.8,1.1,0.7,59.8,0.0,69.0,43.0,106.0,0.6,0.34,0.06,0.14,2.5,8.97,4.6,0.24,1.2,3.6,7.8,2.27,450.0,260.0,18.0,200.0,20.0,1.6,5.0,,
Vaca magra estufada com óleo alimentar e margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",226,940,14.2,4.8,5.3,2.7,2.62,0.4,1.2,1.0,0.1,0.1,0.4,21.8,1.1,0.7,59.3,0.0,69.0,25.0,94.0,0.6,2.16,0.06,0.14,2.5,8.97,4.6,0.24,1.2,3.6,7.8,2.17,420.0,260.0,18.0,200.0,20.0,1.6,5.0,,
Vaca meio gorda estufada,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",278,1160,20.2,2.0,2.0,2.0,1.95,2.0,1.2,1.0,0.1,0.1,0.4,21.4,1.1,0.7,53.5,0.0,61.0,25.0,94.0,0.4,1.48,0.07,0.13,2.4,8.67,4.5,0.27,1.2,3.6,14.0,2.25,410.0,240.0,18.0,200.0,19.0,1.0,3.0,,
Vaca meio gorda estufada com azeite e margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",278,1160,20.2,7.2,9.7,1.2,1.09,0.7,1.2,1.0,0.1,0.1,0.4,21.4,1.0,0.7,53.5,0.0,61.0,25.0,94.0,0.4,0.78,0.07,0.13,2.4,8.67,4.5,0.27,1.2,3.6,14.0,2.25,410.0,240.0,18.0,200.0,19.0,1.0,3.0,,
Vaca meio gorda estufada com margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",273,1130,19.6,8.0,7.9,1.6,1.51,0.7,1.2,1.0,0.1,0.1,0.4,21.4,1.1,0.7,54.0,0.0,61.0,43.0,106.0,0.4,0.36,0.07,0.13,2.4,8.67,4.5,0.27,1.2,3.6,14.0,2.35,450.0,240.0,18.0,200.0,19.0,1.0,3.1,,
Vaca meio gorda estufada com óleo alimentar e margarina,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",278,1160,20.2,7.1,8.0,2.9,2.81,0.7,1.2,1.0,0.1,0.1,0.4,21.4,1.0,0.7,53.5,0.0,61.0,25.0,94.0,0.4,2.18,0.07,0.13,2.4,8.67,4.5,0.27,1.2,3.6,14.0,2.25,410.0,240.0,18.0,200.0,19.0,1.0,3.0,,
Cachucho cru,"Peixes, mariscos, anfíbios, répteis e invertebrados",Peixe (músculo),Peixe de mar,80,337,0.7,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.2,0.0,79.0,0.0,34.0,0.0,0.0,0.9,1.9,0.02,0.05,1.5,5.0,3.5,0.22,1.3,0.0,7.0,1.25,61.0,320.0,30.0,190.0,28.0,0.8,0.8,,
"Chouriço de carne de porco, magro, cozido sem adição de sal",Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,334,1390,26.1,9.0,10.3,3.0,2.6,0.1,0.0,0.0,0.0,0.0,0.0,24.8,5.1,0.0,41.1,0.0,85.0,0.0,0.0,0.0,0.4,0.55,0.2,4.0,5.4,1.4,0.3,1.3,0.0,0.7,8.0,2060.0,190.0,32.0,280.0,22.0,2.8,3.3,,
Costeleta de cabrito crua,Carne e produtos cárneos,Carne de mamiferos e de aves,Carne de mamíferos,120,506,2.7,0.8,1.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,23.9,0.2,0.0,72.2,0.0,60.0,0.0,0.0,0.4,0.09,0.13,0.32,6.6,12.0,5.1,0.32,1.3,0.0,5.0,0.9,94.0,440.0,14.0,130.0,26.0,1.1,4.6,,
